cenario,tamanho_label,n,algoritmo,repeticao,tempo_s,comparacoes,trocas,ordenado,status
repetido,pequena,1000,Merge Sort,3,0.002253,5052,5068,1,ok
repetido,pequena,1000,Quick Sort,3,0.000300,1002,1,1,ok
repetido,pequena,1000,Radix Sort,3,0.003063,999,13000,1,ok
repetido,media,10000,Insertion Sort,1,0.002270,9999,0,1,ok
repetido,media,10000,Selection Sort,1,8.833847,49995000,0,1,ok
repetido,media,10000,Shell Sort,1,0.015424,75243,0,1,ok
repetido,media,10000,Merge Sort,1,0.031963,71712,75392,1,ok
repetido,media,10000,Quick Sort,1,0.002844,10002,1,1,ok
repetido,media,10000,Radix Sort,1,0.023714,9999,110000,1,ok
repetido,media,10000,Insertion Sort,2,0.002283,9999,0,1,ok
repetido,media,10000,Selection Sort,2,8.851772,49995000,0,1,ok
repetido,media,10000,Shell Sort,2,0.015413,75243,0,1,ok
repetido,media,10000,Merge Sort,2,0.032035,71712,75392,1,ok
repetido,media,10000,Quick Sort,2,0.002834,10002,1,1,ok
repetido,media,10000,Radix Sort,2,0.023858,9999,110000,1,ok
repetido,media,10000,Insertion Sort,3,0.002237,9999,0,1,ok
repetido,media,10000,Selection Sort,3,8.842219,49995000,0,1,ok
repetido,media,10000,Shell Sort,3,0.015636,75243,0,1,ok
repetido,media,10000,Merge Sort,3,0.032143,71712,75392,1,ok
repetido,media,10000,Quick Sort,3,0.002833,10002,1,1,ok
repetido,media,10000,Radix Sort,3,0.034749,9999,130000,1,ok
repetido,pequena,1000,Insertion Sort,1,0.000316,999,0,1,ok
repetido,pequena,1000,Selection Sort,1,0.091201,499500,0,1,ok
repetido,pequena,1000,Shell Sort,1,0.001170,5457,0,1,ok
repetido,pequena,1000,Merge Sort,1,0.002577,5052,5068,1,ok
repetido,pequena,1000,Quick Sort,1,0.000340,1002,1,1,ok
repetido,pequena,1000,Radix Sort,1,0.002913,999,13000,1,ok
repetido,pequena,1000,Insertion Sort,2,0.000233,999,0,1,ok
repetido,pequena,1000,Selection Sort,2,0.094282,499500,0,1,ok
repetido,pequena,1000,Shell Sort,2,0.001159,5457,0,1,ok
repetido,pequena,1000,Merge Sort,2,0.002481,5052,5068,1,ok
repetido,pequena,1000,Quick Sort,2,0.000318,1002,1,1,ok
repetido,pequena,1000,Radix Sort,2,0.002900,999,13000,1,ok
repetido,pequena,1000,Insertion Sort,3,0.000230,999,0,1,ok
repetido,pequena,1000,Selection Sort,3,0.088262,499500,0,1,ok
